lat,lon,depth,mag,remark,strike1,dip1,rake1,strike2,dip2,rake2
-0.76,133.34,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.77,133.48,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.90,133.25,10,4.6,Irian Jaya Region - Indonesia,,,,,,
-0.48,133.29,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.38,132.68,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.99,132.56,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.91,133.66,10,4.6,Irian Jaya Region - Indonesia,,,,,,
-0.61,134.00,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-1.25,132.11,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.87,133.83,10,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.35,132.91,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.27,132.91,10,4.7,Irian Jaya Region - Indonesia,,,,,,
-0.68,133.70,10,5.2,Irian Jaya Region - Indonesia,,,,,,
-0.35,133.01,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-1.26,131.87,10,5.3,Irian Jaya Region - Indonesia,,,,,,
-0.64,133.01,10,5.8,Irian Jaya Region - Indonesia,,,,,,
-0.55,133.42,10,5.5,Irian Jaya Region - Indonesia,,,,,,
-0.75,132.57,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-1.06,134.06,10,4.8,Irian Jaya Region - Indonesia,,,,,,
-1.38,133.68,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.74,133.31,10,5.5,Irian Jaya Region - Indonesia,,,,,,
-0.28,132.84,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-1.54,133.42,197,4.7,Irian Jaya Region - Indonesia,,,,,,
-0.62,132.94,98,5.0,Irian Jaya Region - Indonesia,,,,,,
-1.56,132.03,57,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.82,133.69,10,5.2,Irian Jaya Region - Indonesia,,,,,,
-0.48,133.01,10,5.2,Irian Jaya Region - Indonesia,,,,,,
-0.86,133.73,10,5.4,Irian Jaya Region - Indonesia,,,,,,
-0.73,132.89,10,4.5,Irian Jaya Region - Indonesia,,,,,,
-1.30,133.03,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.18,133.16,10,5.2,Irian Jaya Region - Indonesia,,,,,,
-0.94,133.63,10,5.4,Irian Jaya Region - Indonesia,,,,,,
-0.55,133.74,10,5.2,Irian Jaya Region - Indonesia,,,,,,
0.19,133.62,10,5.6,Irian Jaya Region - Indonesia,,,,,,
-0.82,133.31,59,5.8,Irian Jaya Region - Indonesia,,,,,,
-0.48,133.12,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.39,133.19,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.72,133.31,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-1.09,133.22,10,5.2,Irian Jaya Region - Indonesia,,,,,,
-0.63,133.47,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.86,133.14,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-1.34,133.20,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.17,131.84,10,4.6,Irian Jaya Region - Indonesia,,,,,,
-0.79,133.27,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.41,132.87,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.45,132.96,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.41,132.36,10,4.8,Irian Jaya Region - Indonesia,,,,,,
-2.54,132.24,31,4.0,Irian Jaya Region - Indonesia,,,,,,
-1.15,132.83,10,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.77,132.69,10,4.6,Irian Jaya Region - Indonesia,,,,,,
-2.40,131.55,10,4.3,Irian Jaya Region - Indonesia,,,,,,
-0.81,133.47,10,6.1,Irian Jaya Region - Indonesia,,,,,,
-0.77,133.40,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.93,133.01,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.46,133.09,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.39,132.98,10,4.5,Irian Jaya Region - Indonesia,,,,,,
-1.12,133.60,10,4.4,Irian Jaya Region - Indonesia,,,,,,
-1.12,133.58,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-1.04,132.50,10,4.4,Irian Jaya Region - Indonesia,,,,,,
-1.70,131.54,10,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.69,133.17,48,5.3,Irian Jaya Region - Indonesia,,,,,,
-1.06,131.85,10,4.6,Irian Jaya Region - Indonesia,,,,,,
-0.98,132.77,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.47,133.16,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.59,132.65,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.76,133.26,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.75,133.35,10,4.7,Irian Jaya Region - Indonesia,,,,,,
-0.63,133.10,10,5.5,Irian Jaya Region - Indonesia,,,,,,
-0.63,133.85,10,5.2,Irian Jaya Region - Indonesia,,,,,,
-0.87,133.77,10,4.7,Irian Jaya Region - Indonesia,,,,,,
-0.46,132.88,10,5.2,Irian Jaya Region - Indonesia,,,,,,
-1.43,132.48,94,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.92,133.65,10,5.2,Irian Jaya Region - Indonesia,,,,,,
-0.13,133.56,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.45,133.35,10,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.68,133.61,10,5.1,Irian Jaya Region - Indonesia,,,,,,
-0.27,132.52,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-1.33,132.95,45,5.0,Irian Jaya Region - Indonesia,,,,,,
-0.53,132.88,14,5.3,Irian Jaya Region - Indonesia,,,,,,
-0.39,132.76,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-1.95,132.11,74,4.9,Irian Jaya Region - Indonesia,,,,,,
